"","x"
"246","ENSG00000122359"
"247","ENSG00000104537"
"248","ENSG00000136250"
"249","ENSG00000131480"
"250","ENSG00000138356"
"251","ENSG00000120868"
"252","ENSG00000164978"
"253","ENSG00000175336"
"254","ENSG00000107282"
"255","ENSG00000276497"
"256","ENSG00000034053"
"257","ENSG00000276495"
"258","ENSG00000166313"
"259","ENSG00000163697"
"260","ENSG00000134982"
"261","ENSG00000132703"
"262","ENSG00000160224"
"263","ENSG00000164062"
"264","ENSG00000100823"
"265","ENSG00000291796"
"266","ENSG00000110330"
"267","ENSG00000023445"
"268","ENSG00000101966"
"269","ENSG00000089685"
"270","ENSG00000105290"
"271","ENSG00000084234"
"272","ENSG00000118137"
"273","ENSG00000158874"
"274","ENSG00000110244"
"275","ENSG00000084674"
"276","ENSG00000291544"
"277","ENSG00000111701"
"278","ENSG00000130208"
"279","ENSG00000291128"
"280","ENSG00000103375"
"281","ENSG00000234906"
"282","ENSG00000110245"
"283","ENSG00000267467"
"284","ENSG00000189058"
"285","ENSG00000130203"
"286","ENSG00000091583"
"287","ENSG00000142192"
"288","ENSG00000198931"
"289","ENSG00000142515"
"290","ENSG00000026103"
"291","ENSG00000117560"
"292","ENSG00000146950"
"293","ENSG00000240583"
"294","ENSG00000167580"
"295","ENSG00000165272"
"296","ENSG00000171885"
"297","ENSG00000161798"
"298","ENSG00000086159"
"299","ENSG00000165269"
"300","ENSG00000103569"
"301","ENSG00000169083"
"302","ENSG00000091262"
"303","ENSG00000275331"
"304","ENSG00000078061"
"305","ENSG00000095139"
"306","ENSG00000113595"
"307","ENSG00000109321"
"308","ENSG00000143761"
"309","ENSG00000134287"
"310","ENSG00000168374"
"311","ENSG00000175906"
"312","ENSG00000004059"
"313","ENSG00000165527"
"314","ENSG00000118520"
"315","ENSG00000081181"
"316","ENSG00000067560"
"317","ENSG00000143878"
"318","ENSG00000155366"
"319","ENSG00000115963"
"320","ENSG00000177105"
"321","ENSG00000175220"
"322","ENSG00000089820"
"323","ENSG00000100852"
"324","ENSG00000047648"
"325","ENSG00000141522"
"326","ENSG00000111348"
"327","ENSG00000242173"
"328","ENSG00000168421"
"329","ENSG00000120805"
"330","ENSG00000165462"
"331","ENSG00000213465"
"332","ENSG00000138175"
"333","ENSG00000143437"
"334","ENSG00000133794"
"335","ENSG00000120500"
"336","ENSG00000137486"
"337","ENSG00000141480"
"338","ENSG00000100299"
"339","ENSG00000113273"
"340","ENSG00000101846"
"341","ENSG00000006756"
"342","ENSG00000157399"
"343","ENSG00000062096"
"344","ENSG00000129744"
"345","ENSG00000156219"
"346","ENSG00000111339"
"347","ENSG00000099889"
"348","ENSG00000104763"
"349","ENSG00000139352"
"350","ENSG00000183734"
"351","ENSG00000141505"
"352","ENSG00000161944"
"353","ENSG00000101440"
"354","ENSG00000126522"
"355","ENSG00000196433"
"356","ENSG00000292336"
"357","ENSG00000198356"
"358","ENSG00000070669"
"359","ENSG00000108381"
"360","ENSG00000198363"
"361","ENSG00000130707"
"362","ENSG00000223922"
"363","ENSG00000213487"
"364","ENSG00000227881"
"365","ENSG00000215583"
"366","ENSG00000217791"
"367","ENSG00000215325"
"368","ENSG00000257316"
"369","ENSG00000152092"
"370","ENSG00000117601"
"371","ENSG00000140836"
"372","ENSG00000123268"
"373","ENSG00000162772"
"374","ENSG00000128272"
"375","ENSG00000138363"
"376","ENSG00000149311"
"377","ENSG00000142599"
"378","ENSG00000172238"
"379","ENSG00000177556"
"380","ENSG00000163399"
"381","ENSG00000018625"
"382","ENSG00000105409"
"383","ENSG00000075673"
"384","ENSG00000132681"
"385","ENSG00000143153"
"386","ENSG00000129244"
"387","ENSG00000069849"
"388","ENSG00000137731"
"389","ENSG00000196296"
"390","ENSG00000174437"
"391","ENSG00000074370"
"392","ENSG00000070961"
"393","ENSG00000157087"
"394","ENSG00000067842"
"395","ENSG00000058668"
"396","ENSG00000105675"
"397","ENSG00000186009"
"398","ENSG00000152234"
"399","ENSG00000164904"
"400","ENSG00000110955"
"401","ENSG00000231635"
"402","ENSG00000165629"
"403","ENSG00000099624"
"404","ENSG00000124172"
"405","ENSG00000116459"
"406","ENSG00000159199"
"407","ENSG00000135390"
"408","ENSG00000154518"
"409","ENSG00000169020"
"410","ENSG00000154723"
"411","ENSG00000114573"
"412","ENSG00000116039"
"413","ENSG00000147416"
"414","ENSG00000185883"
"415","ENSG00000155097"
"416","ENSG00000131100"
"417","ENSG00000117410"
"418","ENSG00000213760"
"419","ENSG00000234920"
"420","ENSG00000226850"
"421","ENSG00000227587"
"422","ENSG00000230900"
"423","ENSG00000234668"
"424","ENSG00000206445"
"425","ENSG00000033627"
"426","ENSG00000071553"
"427","ENSG00000165240"
"428","ENSG00000241837"
"429","ENSG00000123191"
"430","ENSG00000251400"
"431","ENSG00000232292"
"432","ENSG00000175054"
"433","ENSG00000085224"
"434","ENSG00000130294"
"435","ENSG00000148090"
"436","ENSG00000115307"
"437","ENSG00000101200"
"438","ENSG00000166148"
"439","ENSG00000198049"
"440","ENSG00000126895"
"441","ENSG00000167601"
"442","ENSG00000160862"
"443","ENSG00000172232"
"444","ENSG00000278624"
"445","ENSG00000166710"
"446","ENSG00000273686"
"447","ENSG00000136881"
"448","ENSG00000276559"
"449","ENSG00000156273"
"450","ENSG00000002330"
"451","ENSG00000107262"
"452","ENSG00000181790"
"453","ENSG00000121753"
"454","ENSG00000135298"
"455","ENSG00000030110"
"456","ENSG00000109705"
"457","ENSG00000138376"
"458","ENSG00000087088"
"459","ENSG00000174483"
"460","ENSG00000125124"
"461","ENSG00000140463"
"462","ENSG00000060982"
"463","ENSG00000105552"
"464","ENSG00000114200"
"465","ENSG00000248098"
